Time(s)	Ch1 (FF)	Ch2 (FF)	Ch3 (BF)
0.0	0.4917	0.4613	1.2436
0.01	0.583	0.564	1.1863
0.02	0.6253	0.7215	0.9697
0.03	0.6092	0.7608	0.1099
0.04	0.5763	0.781	-0.4559
0.05	0.5322	0.7901	-0.8022
0.06	0.4772	0.7861	-1.0314
0.07	0.4174	0.7738	-1.1906
0.08	0.356	0.7568	-1.3035
0.09	0.2959	0.738	-1.3875
0.1	0.2429	0.7195	-1.4468
0.11	0.209	0.7016	-1.3475
0.12	0.1502	0.6812	-0.7425
0.13	0.1037	0.6574	0.2165
0.14	0.068	0.6363	0.8632
0.15	0.041	0.6209	1.1114
0.16	0.0245	0.6051	1.1122
0.17	0.0097	0.5808	1.0698
0.18	-0.007	0.552	1.0614
0.19	-0.0192	0.5308	1.066
0.2	-0.0257	0.5171	1.0689
0.21	-0.0304	0.5055	1.0721
0.22	-0.0347	0.4956	1.0757
0.23	-0.0384	0.4879	1.0795
0.24	-0.0415	0.4813	1.0837
0.25	-0.0445	0.4755	1.0879
0.26	-0.0477	0.4703	1.0918
0.27	-0.0513	0.4657	1.0938
0.28	-0.0552	0.4618	1.0959
0.29	-0.0598	0.4585	1.0991
0.3	-0.0639	0.4553	1.1026
0.31	-0.0669	0.4523	1.1062
0.32	-0.07	0.4496	1.1098
0.33	-0.0738	0.4471	1.1134
0.34	-0.0783	0.4448	1.117
0.35	-0.0834	0.4425	1.1203
0.36	-0.0888	0.4402	1.1234
0.37	-0.0945	0.4379	1.1264
0.38	-0.1007	0.4357	1.1294
0.39	-0.1073	0.4336	1.1323
0.4	-0.1142	0.4316	1.135
0.41	-0.1214	0.4297	1.1375
0.42	-0.1291	0.4277	1.1399
0.43	-0.1371	0.4258	1.1421
0.44	-0.1453	0.4238	1.1442
0.45	-0.1538	0.4219	1.1461
0.46	-0.1625	0.42	1.1479
0.47	-0.1714	0.4182	1.1493
0.48	-0.1804	0.4164	1.1507
0.49	-0.1896	0.4146	1.1521
0.5	-0.199	0.4128	1.1535
0.51	-0.2085	0.411	1.1548
0.52	-0.218	0.4092	1.156
0.53	-0.2278	0.4075	1.1572
0.54	-0.2375	0.4059	1.1582
0.55	-0.2473	0.4042	1.1592
0.56	-0.2572	0.4025	1.1601
0.57	-0.267	0.4008	1.161
0.58	-0.277	0.3992	1.1619
0.59	-0.287	0.3976	1.1628
0.6	-0.2971	0.3959	1.1636
0.61	-0.3071	0.3943	1.1643
0.62	-0.3172	0.3928	1.165
0.63	-0.3272	0.3912	1.1657
0.64	-0.3372	0.3896	1.1664
0.65	-0.3472	0.3881	1.1671
0.66	-0.3573	0.3866	1.1677
0.67	-0.3674	0.3851	1.1683
0.68	-0.3775	0.3836	1.1688
0.69	-0.3876	0.3821	1.1694
0.7	-0.3977	0.3807	1.1699
0.71	-0.4077	0.3792	1.1704
0.72	-0.4176	0.3778	1.1708
0.73	-0.4275	0.3763	1.1712
0.74	-0.4372	0.3748	1.1717
0.75	-0.4469	0.3734	1.1721
0.76	-0.4566	0.3719	1.1725
0.77	-0.4662	0.3705	1.1729
0.78	-0.4756	0.3691	1.1733
0.79	-0.4849	0.3678	1.1736
0.8	-0.4941	0.3664	1.1739
0.81	-0.5032	0.3651	1.1743
0.82	-0.5124	0.3638	1.1746
0.83	-0.5214	0.3625	1.1749
0.84	-0.5303	0.3612	1.1752
0.85	-0.5391	0.3598	1.1754
0.86	-0.5478	0.3585	1.1757
0.87	-0.5564	0.3572	1.1759
0.88	-0.565	0.3559	1.1762
0.89	-0.5734	0.3546	1.1765
0.9	-0.5817	0.3533	1.1767
0.91	-0.5899	0.3521	1.1769
0.92	-0.5981	0.3509	1.1771
0.93	-0.6062	0.3497	1.1773
0.94	-0.6142	0.3484	1.1775
0.95	-0.6222	0.3472	1.1777
0.96	-0.6301	0.346	1.1779
0.97	-0.6379	0.3448	1.1781
0.98	-0.6456	0.3436	1.1783
0.99	-0.6534	0.3424	1.1786
1.0	-0.661	0.3413	1.1788
1.01	-0.6686	0.3402	1.179
1.02	-0.6762	0.339	1.1792
1.03	-0.6837	0.3379	1.1793
1.04	-0.6912	0.3368	1.1795
1.05	-0.6985	0.3357	1.1796
1.06	-0.7058	0.3346	1.1798
1.07	-0.7131	0.3335	1.1799
1.08	-0.7203	0.3325	1.18
1.09	-0.7273	0.3314	1.1802
1.1	-0.7343	0.3304	1.1803
1.11	-0.7412	0.3294	1.1805
1.12	-0.748	0.3284	1.1806
1.13	-0.7547	0.3273	1.1808
1.14	-0.7613	0.3263	1.1809
1.15	-0.7679	0.3254	1.1811
